name,userType,dogOwner,parent
Mrs. Sylvester Hodkiewicz,Resident,false,false
Lynda Kirlin,Resident,false,false
Justin Walter,Resident,true,false
Bessie Ortiz,Resident,false,false
Danielle Johnson,Resident,false,true
Hazel Kris,Resident,true,true
Jaime Altenwerth,Resident,false,true
Felix Pagac,Resident,true,false
Taylor Dibbert,Resident,false,false
Ed Hartmann,Resident,true,false
Shannon Koepp,Resident,true,false
Samuel Schroeder DVM,Resident,true,false
Georgia Emmerich,Resident,true,false
Sonya McCullough,Resident,true,false
Laurence Schneider,Resident,false,false
Jake Johnson,Resident,false,true
Mr. Irvin Schumm,Resident,true,true
Florence Carter MD,Resident,true,true
Antonia Stehr,Resident,true,true
Bill Ullrich,Resident,true,false
Rose Hudson,Resident,false,false
Sharon Botsford,Resident,true,true
Minnie Bartell,Resident,false,false
Laura Connelly,Resident,false,true
Kathleen Yost,Resident,true,false
Stanley Ullrich,Resident,true,true
Nancy Kuhic,Resident,true,false
Todd Nienow,Resident,true,true
Carlton Moen,Resident,true,true
Delia West,Resident,true,true
Regina Berge,Resident,true,false
Ms. Aaron Hahn,Resident,true,false
Ivan Carter IV,Resident,false,false
Paulette O'Keefe,Resident,true,true
Mrs. Paulette Schoen,Resident,false,false
Candice Glover,Resident,false,true
Shannon Yost,Resident,true,true
Tanya Mueller,Resident,false,true
Mrs. Lewis Balistreri,Resident,false,true
Salvatore Lindgren,Resident,false,false
Clint Kris,Resident,false,false
Mr. Sheila Fritsch,Resident,true,false
Ida Flatley,Resident,true,false
Ronnie Thompson,Resident,true,true
Cindy Heaney,Resident,false,true
Patrick Osinski MD,Resident,true,true
Donna Feest,Resident,false,false
Ed Cartwright,Resident,false,true
Roger Hermiston,Resident,false,true
Andrew Crooks,Resident,true,false
Don Huels,Resident,false,false
Fredrick Kohler,Resident,true,false
Mr. Gilberto Franecki,Resident,false,true
Shawn King,Resident,false,true
Geoffrey Quigley PhD,Resident,true,true
Charlotte Purdy,Resident,false,true
Ms. John Conn,Resident,true,false
William Effertz,Resident,false,true
Marianne Marquardt,Resident,true,true
Herman Veum III,Resident,false,true
Cary Bauch,Resident,false,false
Dr. Alice Leuschke,Resident,true,true
Cecil Corkery,Resident,true,true
Gayle Beer,Resident,false,false
Bruce Orn,Resident,false,true
Whitney Wunsch,Resident,false,true
Jeffrey Jakubowski,Resident,false,true
Mrs. Christine McKenzie,Resident,false,true
Carlos Schmidt,Resident,true,true
Jordan Beer PhD,Resident,false,false
Mrs. Essie Price,Resident,false,false
Dr. Michael Braun,Resident,true,false
Miss Nettie Weissnat,Resident,true,false
Mr. Terrence Schmidt,Resident,false,true
Juana Kertzmann,Resident,false,true
Guillermo Wunsch PhD,Resident,true,true
Tasha Grimes,Resident,true,false
Oliver Gerhold,Resident,false,false
Dana Breitenberg DDS,Resident,false,false
Bobbie Denesik,Resident,false,true
Angela Lang Sr.,Resident,true,true
Vincent Sawayn,Resident,false,false
Roderick Halvorson,Resident,false,true
Timothy Ankunding,Resident,false,true
Miss Victor Cronin,Resident,true,false
Owen Lindgren,Resident,true,false
Dr. Byron Gleason,Resident,false,true
Ms. Rogelio Kovacek,Resident,false,true
Henrietta Erdman,Resident,false,false
Jimmie Kohler,Resident,true,true
Clay Schinner,Resident,true,false
Mrs. Dianne Hand,Resident,false,true
Jamie Gaylord,Resident,true,true
Claire Murazik,Resident,true,true
Angel Parker,Resident,true,true
Mrs. Dianne Schmidt,Resident,false,true
Gilbert Mann,Resident,true,false
Ms. Allan Casper,Resident,true,false
Erick Abbott,Resident,true,true
Tom Robel,Resident,false,false
Jeannie Rogahn MD,Resident,true,false
Jenna Hermann,Resident,true,false
Erin Glover,Resident,true,false
Christian Ondricka,Resident,false,true
Carrie Herman,Resident,false,true
Peggy Lueilwitz DVM,Resident,true,false
Lee Bednar,Resident,true,true
Ruben Thompson,Resident,true,false
Edith Jacobs MD,Resident,true,true
Marion McDermott,Resident,true,false
Marcos Wilkinson,Resident,false,true
Dixie Rath,Resident,false,true
April McClure,Resident,true,false
Ruby Carter,Resident,true,false
Cecelia Langworth,Resident,false,true
Sandy Hansen,Resident,false,true
Nicolas Boyer,Resident,false,false
Rex West,Resident,true,false
Bobbie Leffler,Resident,false,true
Marcia Lockman,Resident,true,true
Leonard Paucek,Resident,true,true
Irma Gottlieb,Resident,true,true
Marlon Blick,Resident,false,true
Owen Wilderman,Resident,true,false
Theodore Kshlerin,Resident,false,false
